
2025-08-28 12:51:50 [INFO] [PID:78684] ============================================================
2025-08-28 12:51:50 [INFO] [PID:78684] Production VAD (identity-preserving) starting
2025-08-28 12:51:50 [INFO] [PID:78684] Paths: in=data/<split>/<split>/wav/<spk>/*.wav | out=data/processed/vad_segments/<split>/<spk>/*.wav
2025-08-28 12:51:50 [INFO] [PID:78684] 16kHz | frame=30ms | merge_gap=0.5 | energy=adaptive@14pct
2025-08-28 12:51:50 [INFO] [PID:78684] ============================================================
2025-08-28 12:51:50 [INFO] [PID:78684] 
Processing TRAIN split: 174 speakers
2025-08-28 12:51:50 [INFO] [PID:78684] Configuration: min_segment_length=1.6s, energy_threshold=adaptive@14pct
2025-08-28 12:52:27 [INFO] [PID:82000] SSB0018: 422 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:29 [INFO] [PID:66664] SSB0112: 429 segments | rejected_short=15, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:29 [INFO] [PID:76296] SSB0012: 464 segments | rejected_short=22, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:29 [INFO] [PID:89236] SSB0043: 447 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:31 [INFO] [PID:96988] SSB0038: 435 segments | rejected_short=19, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:31 [INFO] [PID:89524] SSB0122: 426 segments | rejected_short=20, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:32 [INFO] [PID:74360] SSB0057: 444 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:33 [INFO] [PID:95808] SSB0073: 426 segments | rejected_short=40, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:33 [INFO] [PID:94780] SSB0080: 486 segments | rejected_short=4, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:34 [INFO] [PID:96788] SSB0009: 445 segments | rejected_short=51, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:34 [INFO] [PID:96176] SSB0133: 424 segments | rejected_short=13, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:34 [INFO] [PID:77600] SSB0011: 448 segments | rejected_short=12, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:35 [INFO] [PID:93084] SSB0033: 492 segments | rejected_short=6, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:35 [INFO] [PID:86928] SSB0016: 461 segments | rejected_short=22, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:40 [INFO] [PID:91712] SSB0005: 455 segments | rejected_short=14, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:47 [INFO] [PID:82000] SSB0139: 452 segments | rejected_short=24, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:47 [INFO] [PID:89236] SSB0193: 376 segments | rejected_short=51, rejected_energy=0, skipped=0 | preproc_fail=0
2025-08-28 12:52:51 [INFO] [PID:66664] SSB0145: 416 segments | rejected_short=16, rejected_energy=0, skipped=0 | preproc_fail=0
