word,start,end,confidence
This,1.0,1.2,0.919
file,1.2,1.68,0.996
contains,1.68,2.2,0.985
a,2.2,2.52,0.992
sequence,2.52,2.98,0.996
of,2.98,3.32,0.986
pure,3.32,3.74,0.965
tones,3.74,4.26,0.976
at,4.26,4.64,0.853
various,4.64,5.14,0.981
frequencies,5.14,5.82,0.985
designed,5.82,6.76,0.773
for,6.76,7.2,0.927
audio,7.2,7.58,0.716
system,7.58,8.0,0.772
"testing,",8.0,8.56,0.954
provided,9.26,9.7,0.917
by,9.7,10.06,0.998
samplefiles.com.,10.06,11.72,0.763
The,31.96,32.14,0.086
samplefiles,32.14,34.48,0.248
are,34.48,34.5,0.349
used,34.5,34.52,0.036
for,34.52,34.54,0.365
audio,34.54,34.56,0.312
system,34.56,34.58,0.354
"testing,",34.58,34.6,0.916
provided,34.6,34.62,0.163
by,34.62,34.64,0.879
samplefiles.com.,34.64,35.2,0.797
